Icon_state,
home_menu_gaming,0
home_menu_library,1
home_menu_movies,2
home_menu_music,3
home_menu_news,4
home_menu_subscriptions,5
search_keyboard_key_0,6
search_keyboard_key_1,7
search_keyboard_key_2,8
search_keyboard_key_3,9
search_keyboard_key_4,10
search_keyboard_key_5,11
search_keyboard_key_6,12
search_keyboard_key_7,13
search_keyboard_key_8,14
search_keyboard_key_9,15
search_keyboard_key_a,16
search_keyboard_key_and,17
search_keyboard_key_at,18
search_keyboard_key_b,19
search_keyboard_key_c,20
search_keyboard_key_colon,21
search_keyboard_key_d,22
search_keyboard_key_dot,23
search_keyboard_key_e,24
search_keyboard_key_exclamationmark,25
search_keyboard_key_f,26
search_keyboard_key_g,27
search_keyboard_key_h,28
search_keyboard_key_i,29
search_keyboard_key_j,30
search_keyboard_key_k,31
search_keyboard_key_l,32
search_keyboard_key_leftbracket,33
search_keyboard_key_m,34
search_keyboard_key_n,35
search_keyboard_key_o,36
search_keyboard_key_p,37
search_keyboard_key_q,38
search_keyboard_key_questionmark,39
search_keyboard_key_quote,40
search_keyboard_key_r,41
search_keyboard_key_rightbracket,42
search_keyboard_key_s,43
search_keyboard_key_sharp,44
search_keyboard_key_t,45
search_keyboard_key_tochar,46
search_keyboard_key_tonumber,47
search_keyboard_key_u,48
search_keyboard_key_underbar,49
